Description from OCISG 	Log2(Fold Change) from OCISG 	Type I IFN in human fibroblast cells(Main Label)	Type I IFN systems	Type II IFN systems	Type III IFN systems	HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
Not_differentially_expressed	-0.1	Refined nonISG	NonISG	Other	NonISG	HGNC:22195	NM_015052	NP_055867	ENST00000395891	HECW1	23072	ENSG00000002746
Up_regulated	1.51	Refined ISG	ISG	ISG	Other	HGNC:1876	NM_003879	NP_003870	ENST00000309955	CFLAR	8837	ENSG00000003402
Not_differentially_expressed	-0.06	Refined nonISG	NonISG	Other	Other	HGNC:658	NM_001662	NP_001653	ENST00000000233	ARF5	381	ENSG00000004059
Not_differentially_expressed	-0.39	Refined nonISG	Other	Other	Other	HGNC:17074	NM_015077	NP_055892	ENST00000585482	SARM1	23098	ENSG00000004139
Up_regulated	4.82	Refined ISG	ISG	ISG	Other	HGNC:1667	NM_001775	NP_001766	ENST00000226279	CD38	952	ENSG00000004468
Not_differentially_expressed	-0.03	Refined nonISG	NonISG	Other	Other	HGNC:9903	NM_005777	NP_005768	ENST00000266022	RBM6	10180	ENSG00000004534
Not_differentially_expressed	0.06	Refined nonISG	NonISG	Other	Other	HGNC:26511	NM_144617	NP_653218	ENST00000004982	HSPB6	126393	ENSG00000004776
Up_regulated	2.02	Refined ISG	ISG	ISG	NonISG	HGNC:26076	NM_017918	NP_060388	ENST00000394650	MCUB	55013	ENSG00000005059
Up_regulated	0.69	Refined ISG	ISG	Other	Other	HGNC:7370	NM_078629	NP_523353	ENST00000312196	MSL3	10943	ENSG00000005302
Up_regulated	1.02	Refined ISG	ISG	Other	NonISG	HGNC:23386	NM_015057	NP_055872	ENST00000544440	MYCBP2	23077	ENSG00000005810
Not_differentially_expressed	0.04	Refined nonISG	NonISG	ISG	NonISG	HGNC:29644	NM_016641	NP_057725	ENST00000353258	GDE1	51573	ENSG00000006007
Not_differentially_expressed	0.09	Refined nonISG	NonISG	Other	Other	HGNC:2364	NM_004750	NP_004741	ENST00000392386	CRLF1	9244	ENSG00000006016
Up_regulated	5.06	Refined ISG	ISG	ISG	Other	HGNC:10647	NM_002996	NP_002987	ENST00000006053	CX3CL1	6376	ENSG00000006210
Up_regulated	1.83	Refined ISG	Other	Other	Other	HGNC:21695	NM_001112706	NP_001106177	ENST00000297029	SCIN	85477	ENSG00000006747
Not_differentially_expressed	0.01	Refined nonISG	NonISG	NonISG	Other	HGNC:13538	NM_001199867	NP_001186796	ENST00000262891	MARK4	57787	ENSG00000007047
Up_regulated	1.09	Refined ISG	ISG	ISG	Other	HGNC:29831	NM_023018	NP_075394	ENST00000341426	NADK	65220	ENSG00000008130
Not_differentially_expressed	-0.27	Refined nonISG	NonISG	Other	Other	HGNC:9504	NM_004227	NP_004218	ENST00000350796	CYTH3	9265	ENSG00000008256
Up_regulated	0.39	Refined ISG	Other	Other	Other	HGNC:14524	NM_001130528	NP_001124000	ENST00000262013	SPAG9	9043	ENSG00000008294
Up_regulated	1.5	Refined ISG	ISG	Other	Other	HGNC:6883	NM_012324	NP_036456	ENST00000329492	MAPK8IP2	23542	ENSG00000008735
Not_differentially_expressed	-0.22	Refined nonISG	NonISG	Other	NonISG	HGNC:961	NM_032408	NP_115784	ENST00000339594	BAZ1B	9031	ENSG00000009954
Up_regulated	9.02	Refined ISG	ISG	ISG	Other	HGNC:18160	NM_016135	NP_057219	ENST00000340181	ETV7	51513	ENSG00000010030
Not_differentially_expressed	-0.17	Refined nonISG	NonISG	Other	Other	HGNC:19138	NM_001135217	NP_001128689	ENST00000443597	LRRC23	10233	ENSG00000010626
Not_differentially_expressed	-0.19	Refined nonISG	NonISG	Other	Other	HGNC:14082	NM_018685	NP_061155	ENST00000265748	ANLN	54443	ENSG00000011426
Not_differentially_expressed	0.11	Refined nonISG	NonISG	Other	Other	HGNC:25952	NM_017659	NP_060129	ENST00000012049	QPCTL	54814	ENSG00000011478
Down_regulated (IRG)	-0.9	Refined nonISG	NonISG	Other	NonISG	HGNC:29076	NM_015147	NP_055962	ENST00000377990	CEP68	23177	ENSG00000011523
Not_differentially_expressed	-0.09	Refined nonISG	NonISG	Other	Other	HGNC:3244	NM_014600	NP_055415	ENST00000322054	EHD3	30845	ENSG00000013016
Up_regulated	0.46	Refined ISG	ISG	ISG	Other	HGNC:7531	NM_005115	NP_005106	ENST00000357402	MVP	9961	ENSG00000013364
Up_regulated	1.58	Refined ISG	ISG	Other	NonISG	HGNC:30073	NM_002689	NP_002680	ENST00000265465	POLA2	23649	ENSG00000014138
Up_regulated	1.85	Refined ISG	Other	Other	Other	HGNC:3311	NM_030666	NP_109591	ENST00000380739	SERPINB1	1992	ENSG00000021355
Up_regulated	0.63	Refined ISG	ISG	ISG	Other	HGNC:16392	NM_020896	NP_065947	ENST00000263650	OSBPL5	114879	ENSG00000021762
Not_differentially_expressed	-0.03	Refined nonISG	NonISG	NonISG	NonISG	HGNC:24269	NM_015954	NP_057038	ENST00000428559	DERA	51071	ENSG00000023697
