Description from OCISG 	Log2(Fold Change) from OCISG 	Type I IFN in human fibroblast cells(Main Label)	Type I IFN systems	Type II IFN systems	Type III IFN systems	HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
Not_differentially_expressed	-0.1	Refined nonISG	NonISG	Other	NonISG	HGNC:22195	NM_015052	NP_055867	ENST00000395891	HECW1	23072	ENSG00000002746
Up_regulated	1.51	Refined ISG	ISG	ISG	Other	HGNC:1876	NM_003879	NP_003870	ENST00000309955	CFLAR	8837	ENSG00000003402
Not_differentially_expressed	-0.06	Refined nonISG	NonISG	Other	Other	HGNC:658	NM_001662	NP_001653	ENST00000000233	ARF5	381	ENSG00000004059
Up_regulated	4.82	Refined ISG	ISG	ISG	Other	HGNC:1667	NM_001775	NP_001766	ENST00000226279	CD38	952	ENSG00000004468
Up_regulated	0.69	Refined ISG	ISG	Other	Other	HGNC:7370	NM_078629	NP_523353	ENST00000312196	MSL3	10943	ENSG00000005302
Up_regulated	1.02	Refined ISG	ISG	Other	NonISG	HGNC:23386	NM_015057	NP_055872	ENST00000544440	MYCBP2	23077	ENSG00000005810
Not_differentially_expressed	0.09	Refined nonISG	NonISG	Other	Other	HGNC:2364	NM_004750	NP_004741	ENST00000392386	CRLF1	9244	ENSG00000006016
Up_regulated	5.06	Refined ISG	ISG	ISG	Other	HGNC:10647	NM_002996	NP_002987	ENST00000006053	CX3CL1	6376	ENSG00000006210
Up_regulated	1.83	Refined ISG	Other	Other	Other	HGNC:21695	NM_001112706	NP_001106177	ENST00000297029	SCIN	85477	ENSG00000006747
Not_differentially_expressed	0.01	Refined nonISG	NonISG	NonISG	Other	HGNC:13538	NM_001199867	NP_001186796	ENST00000262891	MARK4	57787	ENSG00000007047
Up_regulated	1.5	Refined ISG	ISG	Other	Other	HGNC:6883	NM_012324	NP_036456	ENST00000329492	MAPK8IP2	23542	ENSG00000008735
Not_differentially_expressed	-0.22	Refined nonISG	NonISG	Other	NonISG	HGNC:961	NM_032408	NP_115784	ENST00000339594	BAZ1B	9031	ENSG00000009954
Up_regulated	9.02	Refined ISG	ISG	ISG	Other	HGNC:18160	NM_016135	NP_057219	ENST00000340181	ETV7	51513	ENSG00000010030
Not_differentially_expressed	-0.19	Refined nonISG	NonISG	Other	Other	HGNC:14082	NM_018685	NP_061155	ENST00000265748	ANLN	54443	ENSG00000011426
Not_differentially_expressed	0.11	Refined nonISG	NonISG	Other	Other	HGNC:25952	NM_017659	NP_060129	ENST00000012049	QPCTL	54814	ENSG00000011478
Down_regulated (IRG)	-0.9	Refined nonISG	NonISG	Other	NonISG	HGNC:29076	NM_015147	NP_055962	ENST00000377990	CEP68	23177	ENSG00000011523
Not_differentially_expressed	-0.09	Refined nonISG	NonISG	Other	Other	HGNC:3244	NM_014600	NP_055415	ENST00000322054	EHD3	30845	ENSG00000013016
Up_regulated	0.46	Refined ISG	ISG	ISG	Other	HGNC:7531	NM_005115	NP_005106	ENST00000357402	MVP	9961	ENSG00000013364
Up_regulated	1.58	Refined ISG	ISG	Other	NonISG	HGNC:30073	NM_002689	NP_002680	ENST00000265465	POLA2	23649	ENSG00000014138
Up_regulated	0.71	Refined ISG	ISG	ISG	NonISG	HGNC:4312	NM_002061	NP_002052	ENST00000370238	GCLM	2730	ENSG00000023909
Down_regulated (IRG)	-0.59	Refined nonISG	NonISG	Other	NonISG	HGNC:5225	NM_004506	NP_004497	ENST00000368455	HSF2	3298	ENSG00000025156
Up_regulated	1.18	Refined ISG	ISG	ISG	Other	HGNC:11920	NM_000043	NP_000034	ENST00000652046	FAS	355	ENSG00000026103
Up_regulated	2.01	Refined ISG	ISG	ISG	NonISG	HGNC:1138	NM_007048	NP_008979	ENST00000289361	BTN3A1	11119	ENSG00000026950
Not_differentially_expressed	-0.28	Refined nonISG	NonISG	NonISG	Other	HGNC:5004	NM_005342	NP_005333	ENST00000325307	HMGB3	3149	ENSG00000029993
Up_regulated	1.13	Refined ISG	ISG	ISG	Other	HGNC:949	NM_001188	NP_001179	ENST00000374467	BAK1	578	ENSG00000030110
Up_regulated	1.08	Refined ISG	Other	Other	Other	HGNC:25581	NM_018227	NP_060697	ENST00000322244	UBA6	55236	ENSG00000033178
Not_differentially_expressed	0.05	Refined nonISG	NonISG	NonISG	Other	HGNC:28469	NM_001031727	NP_001026897	ENST00000040663	MRI1	84245	ENSG00000037757
Up_regulated	2.34	Refined ISG	ISG	ISG	Other	HGNC:18215	NM_018323	NP_060793	ENST00000264864	PI4K2B	55300	ENSG00000038210
Down_regulated (IRG)	-0.42	Refined nonISG	NonISG	Other	Other	HGNC:25836	NM_024519	NP_078795	ENST00000042381	RIPOR1	79567	ENSG00000039523
Not_differentially_expressed	0.1	Refined nonISG	NonISG	Other	Other	HGNC:14944	NM_033215	NP_149992	ENST00000055335	PPP1R3F	89801	ENSG00000049769
Up_regulated	1.55	Refined ISG	ISG	ISG	Other	HGNC:7783	NM_004289	NP_004280	ENST00000056233	NFE2L3	9603	ENSG00000050344
