HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
HGNC:11858	NM_003270	NP_003261	ENST00000373020	TSPAN6	7105	ENSG00000000003
HGNC:17757	NM_022144	NP_071427	ENST00000373031	TNMD	64102	ENSG00000000005
HGNC:19285	NM_020423	NP_065156	ENST00000367771	SCYL3	57147	ENSG00000000457
HGNC:25565	NM_001320047	NP_001306976	ENST00000359326	C1orf112	55732	ENSG00000000460
HGNC:3697	NM_005248	NP_005239	ENST00000374005	FGR	2268	ENSG00000000938
HGNC:4008	NM_032020	NP_114409	ENST00000002165	FUCA2	2519	ENSG00000001036
HGNC:4311	NM_001498	NP_001489	ENST00000650454	GCLC	2729	ENSG00000001084
HGNC:28070	NM_001199013	NP_001185942	ENST00000337248	STPG1	90529	ENSG00000001460
HGNC:25233	NM_020448	NP_065181	ENST00000374399	NIPAL3	57185	ENSG00000001461
HGNC:3359	NM_014936	NP_055751	ENST00000321037	ENPP4	22875	ENSG00000001561
HGNC:10728	NM_004186	NP_004177	ENST00000002829	SEMA3F	6405	ENSG00000001617
HGNC:22215	NM_019004	NP_061877	ENST00000265742	ANKIB1	54467	ENSG00000001629
HGNC:2649	NM_000786	NP_000777	ENST00000003100	CYP51A1	1595	ENSG00000001630
HGNC:9824	NM_134424	NP_602296	ENST00000358495	RAD52	5893	ENSG00000002016
HGNC:7082	NM_002414	NP_002405	ENST00000381192	CD99	4267	ENSG00000002586
HGNC:5194	NM_005114	NP_005105	ENST00000002596	HS3ST1	9957	ENSG00000002587
HGNC:16267	NM_057168	NP_476509	ENST00000222462	WNT16	51384	ENSG00000002745
HGNC:22195	NM_015052	NP_055867	ENST00000395891	HECW1	23072	ENSG00000002746
HGNC:6513	NM_006148	NP_006139	ENST00000318008	LASP1	3927	ENSG00000002834
HGNC:24930	NM_018487	NP_060957	ENST00000004103	TMEM176A	55365	ENSG00000002933
HGNC:6752	NM_002355	NP_002346	ENST00000000412	M6PR	4074	ENSG00000003056
HGNC:5343	NM_001136020	NP_001129492	ENST00000402384	ICA1	3382	ENSG00000003147
HGNC:443	NM_020919	NP_065970	ENST00000264276	ALS2	57679	ENSG00000003393
HGNC:1876	NM_003879	NP_003870	ENST00000309955	CFLAR	8837	ENSG00000003402
HGNC:11760	NM_006287	NP_006278	ENST00000233156	TFPI	7035	ENSG00000003436
HGNC:28816	NM_144736	NP_653337	ENST00000002125	NDUFAF7	55471	ENSG00000003509
HGNC:9902	NM_005778	NP_005769	ENST00000347869	RBM5	10181	ENSG00000003756
HGNC:7454	NM_004686	NP_004677	ENST00000180173	MTMR7	9108	ENSG00000003987
HGNC:658	NM_001662	NP_001653	ENST00000000233	ARF5	381	ENSG00000004059
HGNC:17074	NM_015077	NP_055892	ENST00000585482	SARM1	23098	ENSG00000004139
HGNC:23781	NM_015584	NP_056399	ENST00000540200	POLDIP2	26073	ENSG00000004142
HGNC:362	NM_001625	NP_001616	ENST00000672715	AK2	204	ENSG00000004455
HGNC:1667	NM_001775	NP_001766	ENST00000226279	CD38	952	ENSG00000004468
HGNC:3720	NM_002014	NP_002005	ENST00000001008	FKBP4	2288	ENSG00000004478
HGNC:9903	NM_005777	NP_005768	ENST00000266022	RBM6	10180	ENSG00000004534
HGNC:1469	NM_032294	NP_115670	ENST00000348335	CAMKK1	84254	ENSG00000004660
HGNC:9948	NM_002907	NP_002898	ENST00000444129	RECQL	5965	ENSG00000004700
HGNC:25956	NM_017667	NP_060137	ENST00000305866	VPS50	55610	ENSG00000004766
HGNC:26511	NM_144617	NP_653218	ENST00000004982	HSPB6	126393	ENSG00000004776
HGNC:7694	NM_005003	NP_004994	ENST00000007516	NDUFAB1	4706	ENSG00000004779
HGNC:8812	NM_002612	NP_002603	ENST00000005178	PDK4	5166	ENSG00000004799
HGNC:20302	NM_033125	NP_149116	ENST00000368919	SLC22A16	85413	ENSG00000004809
HGNC:19412	NM_015896	NP_056980	ENST00000231749	ZMYND10	51364	ENSG00000004838
HGNC:1728	NM_001256	NP_001247	ENST00000066544	CDC27	996	ENSG00000004897
HGNC:4837	NM_005333	NP_005324	ENST00000380762	HCCS	3052	ENSG00000004961
HGNC:3086	NM_004422	NP_004413	ENST00000005340	DVL2	1856	ENSG00000004975
HGNC:14368	NM_022119	NP_071402	ENST00000161006	PRSS22	64063	ENSG00000005001
HGNC:15687	NM_003930	NP_003921	ENST00000345317	SKAP2	8935	ENSG00000005020
HGNC:10991	NM_001152	NP_001143	ENST00000317881	SLC25A5	292	ENSG00000005022
HGNC:26076	NM_017918	NP_060388	ENST00000394650	MCUB	55013	ENSG00000005059
HGNC:16718	NM_020162	NP_064547	ENST00000225296	DHX33	56919	ENSG00000005100
HGNC:7013	NM_004527	NP_004518	ENST00000318579	MEOX1	4222	ENSG00000005102
HGNC:22207	NM_015204	NP_056019	ENST00000423059	THSD7A	221981	ENSG00000005108
HGNC:6600	NM_013975	NP_039269	ENST00000378526	LIG3	3980	ENSG00000005156
HGNC:26151	NM_024604	NP_078880	ENST00000005386	RPAP3	79657	ENSG00000005175
HGNC:10522	NM_005622	NP_005613	ENST00000289416	ACSM3	6296	ENSG00000005187
HGNC:28050	NM_020313	NP_064709	ENST00000394391	CIAPIN1	57019	ENSG00000005194
HGNC:30627	NM_152988	NP_694533	ENST00000613503	SPPL2B	56928	ENSG00000005206
HGNC:19356	NM_016429	NP_057513	ENST00000621465	COPZ2	51226	ENSG00000005243
HGNC:9392	NM_002736	NP_002727	ENST00000265717	PRKAR2B	5577	ENSG00000005249
HGNC:7370	NM_078629	NP_523353	ENST00000312196	MSL3	10943	ENSG00000005302
HGNC:16831	NM_004758	NP_004749	ENST00000343736	TSPOAP1	9256	ENSG00000005379
HGNC:7218	NM_000250	NP_000241	ENST00000225275	MPO	4353	ENSG00000005381
HGNC:9204	NM_000446	NP_000437	ENST00000222381	PON1	5444	ENSG00000005421
HGNC:1317	NM_003203	NP_003194	ENST00000321027	GCFC2	6936	ENSG00000005436
HGNC:25770	NM_032118	NP_115494	ENST00000348227	WDR54	84058	ENSG00000005448
HGNC:18541	NM_182931	NP_891847	ENST00000311117	KMT2E	55904	ENSG00000005483
HGNC:23082	NM_001040456	NP_001035546	ENST00000006777	RHBDD2	57414	ENSG00000005486
HGNC:11203	NM_014587	NP_055402	ENST00000293894	SOX8	30812	ENSG00000005513
HGNC:17853	NM_015525	NP_056340	ENST00000306270	IBTK	25998	ENSG00000005700
HGNC:12986	NM_001130520	NP_001123992	ENST00000399602	ZNF195	7748	ENSG00000005801
HGNC:23386	NM_015057	NP_055872	ENST00000544440	MYCBP2	23077	ENSG00000005810
HGNC:13599	NM_012158	NP_036290	ENST00000355619	FBXL3	26224	ENSG00000005812
HGNC:6148	NM_002209	NP_002200	ENST00000356798	ITGAL	3683	ENSG00000005844
HGNC:8810	NM_002611	NP_002602	ENST00000503176	PDK2	5164	ENSG00000005882
HGNC:6139	NM_002204	NP_002195	ENST00000320031	ITGA3	3675	ENSG00000005884
HGNC:6138	NM_000419	NP_000410	ENST00000262407	ITGA2B	3674	ENSG00000005961
HGNC:29644	NM_016641	NP_057725	ENST00000353258	GDE1	51573	ENSG00000006007
HGNC:2364	NM_004750	NP_004741	ENST00000392386	CRLF1	9244	ENSG00000006016
HGNC:16387	NM_145798	NP_665741	ENST00000007414	OSBPL7	114881	ENSG00000006025
HGNC:24529	NM_015544	NP_056359	ENST00000579849	TMEM98	26022	ENSG00000006042
HGNC:17948	NM_015982	NP_057066	ENST00000007699	YBX2	51087	ENSG00000006047
HGNC:6450	NM_004138	NP_004129	ENST00000007735	KRT33A	3883	ENSG00000006059
HGNC:6853	NM_003954	NP_003945	ENST00000344686	MAP3K14	9020	ENSG00000006062
HGNC:563	NM_001030006	NP_001025177	ENST00000610402	AP2B1	163	ENSG00000006125
HGNC:13056	NM_005741	NP_005732	ENST00000219069	ZNF263	10127	ENSG00000006194
HGNC:10647	NM_002996	NP_002987	ENST00000006053	CX3CL1	6376	ENSG00000006210
HGNC:26125	NM_022827	NP_073738	ENST00000006658	SPATA20	64847	ENSG00000006282
HGNC:1394	NM_018896	NP_061496	ENST00000359106	CACNA1G	8913	ENSG00000006283
HGNC:2919	NM_005222	NP_005213	ENST00000518156	DLX6	1750	ENSG00000006377
HGNC:9839	NM_005402	NP_005393	ENST00000005257	RALA	5898	ENSG00000006451
HGNC:21649	NM_018842	NP_061330	ENST00000005260	BAIAP2L1	55971	ENSG00000006453
HGNC:22224	NM_030647	NP_085150	ENST00000397560	KDM7A	80853	ENSG00000006459
HGNC:3490	NM_004956	NP_004947	ENST00000430479	ETV1	2115	ENSG00000006468
HGNC:21869	NM_018238	NP_060708	ENST00000649286	AGK	55750	ENSG00000006530
HGNC:410	NM_000694	NP_000685	ENST00000342456	ALDH3B1	221	ENSG00000006534
HGNC:16460	NM_014808	NP_055623	ENST00000264042	FARP2	9855	ENSG00000006607
HGNC:12597	NM_153676	NP_710142	ENST00000005226	USH1C	10083	ENSG00000006611
HGNC:21705	NM_024051	NP_076956	ENST00000275428	GGCT	79017	ENSG00000006625
HGNC:17364	NM_006716	NP_006707	ENST00000265728	DBF4	10926	ENSG00000006634
