True_Label	Prediction_score
1	0.5753
1	0.2615
1	0.7787
1	0.7325
1	0.6032
1	0.3917
1	0.6526
1	0.4739
1	0.5543
1	0.5610
1	0.7963
1	0.6053
1	0.8604
1	0.8898
1	0.8724
1	0.1402
1	0.7643
1	0.8397
1	0.6202
1	0.7905
1	0.7825
1	0.6761
1	0.5410
1	0.6715
1	0.7245
1	0.8096
1	0.8790
1	0.8364
1	0.7401
1	0.8012
1	0.5983
1	0.2875
1	0.8076
1	0.6280
1	0.3793
1	0.6177
1	0.4637
1	0.6188
1	0.5191
1	0.6886
1	0.7291
1	0.2560
1	0.8462
1	0.7361
1	0.7968
1	0.6829
1	0.5319
1	0.8154
1	0.5621
1	0.3340
1	0.1752
1	0.3953
1	0.7701
1	0.7250
1	0.5832
1	0.2646
1	0.7270
1	0.5931
1	0.4107
1	0.7068
1	0.8616
1	0.8524
1	0.7924
1	0.4673
1	0.5036
1	0.7837
1	0.2147
1	0.4989
1	0.5962
1	0.5802
1	0.1924
1	0.7019
1	0.8246
1	0.6147
1	0.8757
1	0.3732
1	0.4910
1	0.6707
1	0.6256
1	0.6242
1	0.5280
1	0.2315
1	0.7744
1	0.4414
1	0.6802
1	0.2819
1	0.3291
1	0.6952
1	0.4474
1	0.7061
1	0.8095
1	0.3711
1	0.8410
1	0.8258
1	0.7056
1	0.5420
1	0.7971
1	0.8220
1	0.6161
1	0.8203
1	0.7476
1	0.7835
1	0.7466
1	0.7408
1	0.4884
1	0.6040
1	0.3432
1	0.5299
1	0.6220
1	0.4545
1	0.4573
1	0.3702
1	0.2397
1	0.4513
1	0.6261
1	0.7769
1	0.6186
1	0.3134
1	0.7626
1	0.4797
1	0.6868
1	0.8757
1	0.5579
1	0.5133
0	0.3704
0	0.2489
0	0.5672
0	0.3718
0	0.6102
0	0.3449
0	0.3122
0	0.6475
0	0.5944
0	0.7317
0	0.7277
0	0.4107
0	0.4341
0	0.3271
0	0.3519
0	0.6283
0	0.3223
0	0.4151
0	0.2182
0	0.3209
0	0.2482
0	0.3652
0	0.4081
0	0.5118
0	0.4567
0	0.3104
0	0.2179
0	0.2961
0	0.1732
0	0.6123
0	0.4662
0	0.2514
0	0.2757
0	0.8008
0	0.5241
0	0.7946
0	0.3044
0	0.4173
0	0.2744
0	0.8509
0	0.1893
0	0.3825
0	0.1746
0	0.3855
0	0.3978
0	0.1849
0	0.6288
0	0.1649
0	0.3065
0	0.3744
0	0.4050
0	0.2676
0	0.3498
0	0.4314
0	0.4833
0	0.2092
0	0.3870
0	0.2933
0	0.5471
0	0.7236
0	0.2118
0	0.6517
0	0.5580
0	0.8650
0	0.5080
0	0.3456
0	0.7527
0	0.4084
0	0.8113
0	0.8506
0	0.6286
0	0.7733
0	0.2182
0	0.3597
0	0.5074
0	0.6059
0	0.7373
0	0.7617
0	0.3606
0	0.4094
0	0.7725
0	0.2834
0	0.7859
0	0.1713
0	0.8046
0	0.3809
0	0.4688
0	0.4212
0	0.6010
0	0.5467
0	0.1045
0	0.6295
0	0.4326
0	0.4374
0	0.6901
0	0.5779
0	0.5211
0	0.1258
0	0.6942
0	0.1688
0	0.6101
0	0.2933
0	0.7843
0	0.5627
0	0.6474
0	0.1702
0	0.4548
0	0.5063
0	0.8251
0	0.5318
0	0.4188
0	0.4693
0	0.7365
0	0.1498
0	0.7820
0	0.1466
0	0.3491
0	0.2506
0	0.3299
0	0.3200
0	0.5582
0	0.5989
0	0.6036
0	0.6051
0	0.7080
0	0.6983
0	0.4660
0	0.1740
0	0.2403
0	0.2365
0	0.3736
0	0.2359
0	0.6342
0	0.7443
0	0.4859
0	0.2359
0	0.5690
0	0.2383
0	0.1798
0	0.2301
0	0.2756
0	0.2170
0	0.3762
0	0.4133
0	0.4777
0	0.3558
0	0.3632
0	0.6867
0	0.2444
0	0.2813
0	0.4212
0	0.3826
0	0.7304
0	0.2201
0	0.5256
0	0.7264
0	0.3612
0	0.1830
0	0.5965
0	0.4248
0	0.3421
0	0.4940
0	0.4889
0	0.1722
0	0.7739
0	0.4201
0	0.7420
0	0.5881
0	0.2947
0	0.5444
0	0.5207
0	0.5561
0	0.4701
0	0.6229
0	0.6154
0	0.5755
0	0.7423
0	0.4533
0	0.5045
0	0.2436
0	0.3444
0	0.4923
0	0.3685
0	0.4533
0	0.3533
0	0.7204
0	0.4652
0	0.7943
0	0.2497
0	0.1363
0	0.2037
0	0.3254
0	0.1992
0	0.1311
0	0.3089
0	0.8881
0	0.6614
0	0.4248
0	0.1012
0	0.5087
0	0.3248
0	0.4346
0	0.4040
0	0.3174
0	0.3540
0	0.1418
0	0.4798
0	0.5302
0	0.4508
0	0.6378
0	0.2280
0	0.2704
0	0.3133
0	0.3452
0	0.4543
0	0.6809
0	0.6102
0	0.2989
0	0.3771
0	0.5636
0	0.3198
0	0.7974
0	0.1675
0	0.2245
0	0.1495
0	0.6974
0	0.3934
0	0.5112
0	0.5723
0	0.5407
0	0.8300
0	0.5816
0	0.4555
0	0.4609
0	0.1932
0	0.7963
0	0.7368
0	0.7463
0	0.3542
0	0.1970
0	0.5497
0	0.1429
0	0.1988
0	0.7634
0	0.5773
0	0.0760
0	0.2888
0	0.3047
0	0.6192
0	0.2426
0	0.6274
0	0.5019
0	0.4032
0	0.6135
0	0.0975
0	0.2974
0	0.1614
0	0.1492
0	0.2565
0	0.3019
0	0.3911
0	0.3631
0	0.5997
0	0.2007
0	0.4097
0	0.4473
0	0.4326
0	0.7967
0	0.3502
0	0.2275
0	0.4947
0	0.0878
0	0.2915
0	0.1852
0	0.7195
0	0.2586
0	0.3570
0	0.7027
0	0.5743
0	0.2864
0	0.2837
0	0.3119
0	0.7906
0	0.7359
0	0.6751
0	0.0460
0	0.3994
0	0.6665
0	0.7277
0	0.3240
0	0.2919
0	0.1666
0	0.7013
0	0.7719
0	0.2560
0	0.6750
0	0.1764
0	0.2157
0	0.1007
0	0.1051
0	0.3649
0	0.2073
0	0.1386
0	0.1653
0	0.1242
0	0.4226
0	0.2775
0	0.0848
0	0.2227
0	0.3225
0	0.4145
0	0.3169
0	0.6982
0	0.1309
0	0.3648
0	0.2021
0	0.4089
0	0.2669
0	0.2691
0	0.3389
0	0.3343
0	0.4240
0	0.6964
0	0.4938
0	0.2676
0	0.5358
0	0.7553
0	0.2835
0	0.5139
0	0.5407
0	0.6766
0	0.4349
0	0.3830
0	0.3480
0	0.6569
0	0.4764
0	0.2208
0	0.4023
0	0.4111
0	0.3668
0	0.5639
0	0.3980
0	0.6185
0	0.4058
0	0.1544
0	0.6060
0	0.3575
0	0.6446
0	0.2670
0	0.2404
0	0.4995
0	0.5546
0	0.1274
0	0.3075
0	0.1990
0	0.5432
0	0.7068
0	0.2007
0	0.4082
0	0.4328
0	0.3882
0	0.2367
0	0.1777
0	0.4158
0	0.6055
0	0.3227
0	0.4618
0	0.1314
0	0.8008
0	0.7446
0	0.6584
0	0.2819
0	0.2181
0	0.3163
0	0.2582
0	0.5743
0	0.1964
0	0.0852
