Gene	Prediction_score	Prediction_label(threshold=0.549)	Prediction_label(threshold=0.5)
ENSG00000004139	0.3091	Non-ISG	Non-ISG
ENSG00000004534	0.5918	ISG	ISG
ENSG00000004776	0.3472	Non-ISG	Non-ISG
ENSG00000005059	0.4596	Non-ISG	Non-ISG
ENSG00000006007	0.2448	Non-ISG	Non-ISG
ENSG00000008130	0.2695	Non-ISG	Non-ISG
ENSG00000008256	0.7290	ISG	ISG
ENSG00000008294	0.7783	ISG	ISG
ENSG00000010626	0.7135	ISG	ISG
ENSG00000021355	0.7525	ISG	ISG
ENSG00000021762	0.4968	Non-ISG	Non-ISG
ENSG00000023697	0.4197	Non-ISG	Non-ISG
ENSG00000024526	0.7103	ISG	ISG
ENSG00000034677	0.4583	Non-ISG	Non-ISG
ENSG00000035141	0.3322	Non-ISG	Non-ISG
ENSG00000041353	0.5817	ISG	ISG
ENSG00000041357	0.4812	Non-ISG	Non-ISG
ENSG00000047410	0.8005	ISG	ISG
ENSG00000049656	0.1847	Non-ISG	Non-ISG
ENSG00000054967	0.4587	Non-ISG	Non-ISG
ENSG00000060491	0.3695	Non-ISG	Non-ISG
ENSG00000062282	0.3687	Non-ISG	Non-ISG
ENSG00000062598	0.7095	ISG	ISG
ENSG00000063177	0.6168	ISG	ISG
ENSG00000063761	0.3571	Non-ISG	Non-ISG
ENSG00000064651	0.3561	Non-ISG	Non-ISG
ENSG00000065717	0.5685	ISG	ISG
ENSG00000065802	0.5254	Non-ISG	ISG
ENSG00000065882	0.8174	ISG	ISG
ENSG00000067066	0.7031	ISG	ISG
ENSG00000067141	0.4791	Non-ISG	Non-ISG
ENSG00000067798	0.6379	ISG	ISG
ENSG00000067829	0.3157	Non-ISG	Non-ISG
ENSG00000071894	0.3649	Non-ISG	Non-ISG
ENSG00000074527	0.4395	Non-ISG	Non-ISG
ENSG00000075131	0.7031	ISG	ISG
ENSG00000075218	0.6736	ISG	ISG
ENSG00000075643	0.5061	Non-ISG	ISG
ENSG00000075702	0.4641	Non-ISG	Non-ISG
ENSG00000076003	0.4141	Non-ISG	Non-ISG
ENSG00000076067	0.3623	Non-ISG	Non-ISG
ENSG00000076351	0.5110	Non-ISG	ISG
ENSG00000076356	0.5653	ISG	ISG
ENSG00000076382	0.7333	ISG	ISG
ENSG00000077458	0.7499	ISG	ISG
ENSG00000079482	0.5698	ISG	ISG
ENSG00000080345	0.7622	ISG	ISG
ENSG00000080573	0.2956	Non-ISG	Non-ISG
ENSG00000081154	0.4281	Non-ISG	Non-ISG
ENSG00000081803	0.6613	ISG	ISG
ENSG00000082126	0.4793	Non-ISG	Non-ISG
